App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Angry Birds Friends,GAME,4.2,829753,48M,"50,000,000+",Free,0,Everyone,Arcade,"June 19, 2018",4.9.0,4.1 and up
Angry Birds Go!,GAME,4.2,3846378,82M,"50,000,000+",Free,0,Everyone,Racing,"May 30, 2018",2.8.2,4.1 and up
Angry Birds Rio,GAME,4.4,2610328,46M,"100,000,000+",Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up
Angry Birds Space HD,GAME,4.5,43645,46M,"5,000,000+",Free,0,Everyone,Arcade,"May 25, 2018",2.2.13,4.1 and up
Angry Birds Star Wars,GAME,4.3,1218055,45M,"100,000,000+",Free,0,Everyone,Arcade,"May 25, 2018",1.5.12,4.1 and up
Animal Hunting: Sniper Shooting,GAME,,0,48M,50+,Free,0,Teen,Action,"July 6, 2018",1.0,4.0 and up
Ant Smasher by Best Cool & Fun Games,GAME,4.2,1185148,29M,"100,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",9.55,4.0.3 and up
Ao Oni2,GAME,4.1,21223,48M,"1,000,000+",Free,0,Teen,Adventure,"April 20, 2018",1.6.6,4.1 and up
Archery Physics Objects Destruction Apple shooter,GAME,4.5,6026,39M,"100,000+",Free,0,Teen,Action,"July 7, 2018",1.04,4.1 and up
Arcraft - AR Sandbox,GAME,3.8,469,80M,"10,000+",Free,0,Everyone,Adventure,"May 19, 2017",1.4,4.0 and up
Arena of Valor: 5v5 Arena Game,GAME,4.4,438911,99M,"10,000,000+",Free,0,Teen,Action,"June 28, 2018",1.23.1.2,4.0.3 and up
Armed Cam Gun Pack,GAME,4.2,1012,50M,"10,000+",Free,0,Teen,Action,"January 18, 2015",1.0.2,3.0 and up
Armored Warfare: Assault,GAME,4.0,7718,46M,"100,000+",Free,0,Everyone,Action,"August 2, 2018",1.0-a22936.127,5.0 and up
Arrow.io,GAME,4.5,343263,Varies with device,"10,000,000+",Free,0,Everyone 10+,Action,"August 6, 2018",1.2.6,4.0.3 and up
Asphalt 8: Airborne,GAME,4.5,8389714,92M,"100,000,000+",Free,0,Teen,Racing,"July 4, 2018",3.7.1a,4.0.3 and up
Asphalt Xtreme: Rally Racing,GAME,4.5,567984,39M,"10,000,000+",Free,0,Everyone,Racing,"July 16, 2018",1.7.3b,4.0.3 and up
Assassin's Creed Identity,GAME,3.7,42529,92M,"500,000+",Paid,$1.99,Teen,Action,"November 23, 2016",2.8.2,4.1 and up
Assault Line CS Online Fps Go,GAME,4.1,52163,70M,"1,000,000+",Free,0,Mature 17+,Action,"July 13, 2016",1.1.2,2.3 and up
Asylum Night Shift - Five Nights Survival,GAME,4.0,59223,46M,"5,000,000+",Free,0,Teen,Action,"June 26, 2018",1.6.5,4.1 and up
Au Mobile: Audition Chính Hiệu,GAME,3.9,85278,23M,"1,000,000+",Free,0,Mature 17+,Music,"July 17, 2018",1.8.0716,4.0.3 and up
Au-allstar for KR,GAME,3.6,2433,47M,"100,000+",Free,0,Everyone,Music,"June 15, 2018",1.6.4,4.3 and up
Auction Wars : Storage King,GAME,4.1,29062,63M,"1,000,000+",Free,0,Everyone,Casino,"September 15, 2017",2.10,2.3 and up
Avatar Musik,GAME,3.8,159063,85M,"1,000,000+",Free,0,Everyone,Music,"February 9, 2018",0.8.0,4.0 and up
Axe Champ,GAME,3.8,141,19M,"10,000+",Free,0,Everyone,Arcade,"May 26, 2018",1.0.6,4.1 and up
Axe Champ Hit,GAME,,1,15M,100+,Free,0,Everyone,Arcade,"May 25, 2018",0.1,4.1 and up
Axe Champion,GAME,4.4,21,15M,"5,000+",Free,0,Everyone,Arcade,"May 28, 2018",0.1,4.1 and up
Axe Champs! Wars,GAME,5.0,8,25M,50+,Free,0,Everyone,Arcade,"June 26, 2018",1.1,4.1 and up
Axe Knight,GAME,4.5,52,33M,"5,000+",Free,0,Everyone,Action,"June 26, 2018",1.0.5,4.1 and up
Axe Man,GAME,3.7,53,14M,"1,000+",Free,0,Everyone,Adventure,"February 23, 2015",3.0,2.3.3 and up
Axe Throw: Flip Champ Axes Champion Throwing Games,GAME,,1,13M,50+,Free,0,Everyone,Arcade,"May 31, 2018",1.0.0,4.0 and up
Axetatic - Axe Throwing Game,GAME,4.6,29,31M,"1,000+",Free,0,Everyone 10+,Arcade,"October 22, 2017",1.3.3,4.2 and up
Ay Vamos - PJ. Balvin - Piano,GAME,,0,29M,5+,Free,0,Everyone,Arcade,"July 9, 2018",1.0,4.1 and up
B-52 Spirits of Glory Deluxe,GAME,4.3,12,29M,100+,Paid,$0.99,Everyone,Arcade,"September 2, 2017",1.5.9,2.3 and up
B-Grade Renegade,GAME,3.9,24,64M,"1,000+",Paid,$1.99,Teen,Action,"October 17, 2017",0.8.17,3.2 and up
B@dL!bs Lite,GAME,3.8,10,36M,"1,000+",Free,0,Mature 17+,Word,"April 5, 2016",6,4.0.3 and up
BC Slots - The Lost Reels FREE,GAME,4.0,209,22M,"10,000+",Free,0,Teen,Casino,"July 13, 2018",7.0,4.0 and up
BEBONCOOL GAMEPAD V1.0,GAME,3.9,404,2.2M,"100,000+",Free,0,Everyone,Arcade,"August 30, 2017",1.2,4.0 and up
BEYBLADE BURST app,GAME,4.5,216849,Varies with device,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,"July 16, 2018",Varies with device,Varies with device
BF Combat: Genesis,GAME,4.0,3322,82M,"100,000+",Free,0,Mature 17+,Action,"March 2, 2017",5.1.6,2.3 and up
BF Frontline City,GAME,4.1,29798,80M,"1,000,000+",Free,0,Mature 17+,Action,"March 6, 2017",5.1.7,2.3 and up
BF at Sea Refueled,GAME,4.4,1849,37M,"10,000+",Free,0,Everyone,Board,"October 20, 2015",1.1.8,2.3.3 and up
BJ Bridge Acol Beginner 2018,GAME,3.7,11,4.8M,"5,000+",Free,0,Everyone,Card,"May 21, 2018",6.2-begina,4.0 and up
BJ Bridge Free (2018),GAME,3.9,20,4.8M,"10,000+",Free,0,Everyone,Card,"May 21, 2018",6.2-lite,4.0 and up
BJ Bridge Pro 2018,GAME,4.4,17,4.8M,500+,Paid,$4.49,Everyone,Card,"May 21, 2018",6.2-pro,4.0 and up
BJ Bridge Standard American 2018,GAME,1.0,1,4.9M,"1,000+",Free,0,Everyone,Card,"May 21, 2018",6.2-sayc,4.0 and up
BJ Strategy Tester,GAME,,1,8.8M,100+,Free,0,Everyone,Casino,"May 19, 2015",1.0,2.3 and up
BJ card game blackjack,GAME,,3,21M,500+,Free,0,Teen,Card,"December 2, 2016",1.0,2.3 and up
BJ's Bingo & Gaming Casino,GAME,4.5,501,65M,"10,000+",Free,0,Teen,Casino,"July 26, 2018",5.0.1.3,4.3 and up
BL!TZ - Endless,GAME,4.7,21,9.0M,100+,Free,0,Everyone,Arcade,"June 30, 2017",10.05,4.0.3 and up
BL-ED: From BLUE to RED,GAME,,3,2.9M,10+,Free,0,Everyone,Arcade,"April 24, 2016",1.6.5,4.4W and up
BLACKJACK!,GAME,4.4,524467,33M,"10,000,000+",Free,0,Teen,Casino,"July 7, 2016",1.126,2.3.3 and up
BLOOD & GLORY: IMMORTALS,GAME,4.3,101762,11M,"1,000,000+",Free,0,Teen,Action,"June 11, 2015",2.0.0,3.0 and up
BMX Boy,GAME,4.2,839206,12M,"50,000,000+",Free,0,Everyone,Racing,"September 20, 2017",1.16.33,4.1 and up
BMX Boy Bike Stunt Rider Game,GAME,3.8,299,25M,"10,000+",Free,0,Everyone,Racing,"November 10, 2017",1.1,4.1 and up
BQ-መጽሐፍ ቅዱሳዊ ጥያቄዎች,GAME,4.7,191,7.2M,"5,000+",Free,0,Everyone,Trivia,"July 31, 2018",4.1.2,4.1 and up
BROTHER IN WARS: GUNNER CITY WARLORDS,GAME,4.3,8649,39M,"1,000,000+",Free,0,Teen,Action,"July 26, 2018",1.0.3,4.2 and up
BS Chopper,GAME,,0,41M,100+,Free,0,Everyone,Racing,"October 5, 2017",1.0,4.1 and up
BS Tractor,GAME,,3,36M,100+,Free,0,Everyone,Racing,"December 6, 2017",1.0,4.1 and up
BU HANGİ ŞARKI ? - 2018,GAME,,4,28M,100+,Free,0,Everyone,Trivia,"June 2, 2018",3.1.7z,4.0.3 and up
BW Switch,GAME,,1,13M,10+,Free,0,Everyone,Arcade,"April 16, 2018",1.25,4.1 and up
BW-DGS plugin,GAME,4.5,70,691k,"1,000+",Free,0,Everyone,Board,"May 13, 2018",1.6.0,4.0 and up
BW-GnuGo,GAME,4.1,64,1.3M,"5,000+",Free,0,Everyone,Board,"June 2, 2013",2.0.0,2.2 and up
BW-Go,GAME,4.8,265,1.3M,"1,000+",Paid,$3.49,Everyone,Board,"June 18, 2015",4.8.1,2.3 and up
BW-Go Free,GAME,4.6,547,1.3M,"10,000+",Free,0,Everyone,Board,"June 18, 2015",4.8.1,2.3 and up
BW-Joseki,GAME,4.7,705,1.8M,"10,000+",Free,0,Everyone,Board,"July 28, 2015",1.2.1,4.0.3 and up
BZ Fingers,GAME,4.6,15,3.2M,50+,Free,0,Everyone,Arcade,"July 5, 2017",1.3,4.0.3 and up
BZ Zombie VR,GAME,4.4,12,98M,"1,000+",Free,0,Mature 17+,Action,"February 7, 2018",1.4,4.4 and up
Ba Cristi,GAME,3.5,196,35M,"10,000+",Free,0,Everyone,Adventure,"March 22, 2016",1.0.4,2.3 and up
Baby Game Animal Jam Free,GAME,2.8,9,26M,500+,Free,0,Everyone,Board,"March 24, 2017",1.0,2.3 and up
Backgammon NJ for Android,GAME,4.4,1644,15M,"10,000+",Paid,$7.99,Everyone,Board,"April 5, 2017",4.1,2.3.3 and up
Banana Kong,GAME,4.4,3452530,68M,"100,000,000+",Free,0,Everyone,Action,"February 7, 2018",1.9.6.6,4.0.3 and up
Barbie™ Fashion Closet,GAME,4.1,68057,85M,"10,000,000+",Free,0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up
Baseball Boy!,GAME,3.4,148177,78M,"10,000,000+",Free,0,Everyone,Arcade,"July 27, 2018",1.7.2,4.1 and up
Basic Strategy Training BJ 21,GAME,,0,23M,500+,Free,0,Teen,Casino,"March 7, 2016",1.1,2.3 and up
Battlefield™ Companion,GAME,4.0,263907,62M,"10,000,000+",Free,0,Everyone 10+,Action,"November 1, 2016",3.0.4,4.0 and up
Battlelands Royale,GAME,4.4,105620,61M,"1,000,000+",Free,0,Everyone 10+,Action,"July 16, 2018",0.5.8,4.1 and up
Beach Buggy Blitz,GAME,4.2,640974,47M,"50,000,000+",Free,0,Everyone,Racing,"June 5, 2018",1.5,4.0.3 and up
Beach Head Shooting Assault,GAME,3.8,555,44M,"100,000+",Free,0,Teen,Action,"March 2, 2018",1.0,4.0 and up
Beach Shoot Em Up: Head Hunter,GAME,4.4,1218,15M,"500,000+",Free,0,Everyone 10+,Action,"March 6, 2018",1.0.9,2.3 and up
Beauty Idol: Fashion Queen,GAME,4.3,128367,54M,"1,000,000+",Free,0,Everyone,Arcade,"October 27, 2017",2.1.0,4.0.3 and up
Best Fiends - Free Puzzle Game,GAME,4.6,1480182,Varies with device,"10,000,000+",Free,0,Everyone,Casual,"August 2, 2018",5.8.1,Varies with device
Best Park in the Universe,GAME,4.3,3904,5.5M,"10,000+",Paid,$2.99,Everyone 10+,Action,"September 10, 2014",1.2.1,4.0 and up
Betul Ke Bohong Eh?,GAME,4.2,601,6.4M,"100,000+",Free,0,Everyone,Trivia,"April 3, 2015",1.0.1,2.3 and up
Bi-Tank,GAME,4.6,12,18M,50+,Free,0,Everyone,Arcade,"July 31, 2017",Varies with device,4.1 and up
Bi-Tank Ads Free,GAME,,0,Varies with device,1+,Paid,$0.99,Everyone,Arcade,"July 31, 2017",1.1,4.1 and up
Big Fish Casino – Play Slots & Vegas Games,GAME,4.4,382100,Varies with device,"10,000,000+",Free,0,Teen,Casino,"July 11, 2018",Varies with device,Varies with device
Big Hunter,GAME,4.3,245455,84M,"10,000,000+",Free,0,Everyone 10+,Action,"May 31, 2018",2.8.6,4.0 and up
Bike Mayhem Free,GAME,4.3,331692,Varies with device,"10,000,000+",Free,0,Everyone,Racing,"March 27, 2018",Varies with device,4.0.3 and up
Bike Race - Bike Blast Rush,GAME,4.4,83891,48M,"10,000,000+",Free,0,Everyone,Action,"July 19, 2018",3.1,4.0 and up
Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,2586261,Varies with device,"100,000,000+",Free,0,Everyone,Racing,"July 31, 2018",7.7.9,4.2 and up
Bike Racing 3D,GAME,4.2,951435,14M,"50,000,000+",Free,0,Everyone,Racing,"January 17, 2018",2.2,2.1 and up
Bike Rivals,GAME,4.2,212067,48M,"10,000,000+",Free,0,Everyone,Racing,"July 15, 2015",1.5.2,2.3.3 and up
Bingo Party - Free Bingo Games,GAME,4.7,155694,92M,"1,000,000+",Free,0,Teen,Board,"July 13, 2018",2.1.1,4.0.3 and up
Bingo by IGG: Top Bingo+Slots!,GAME,4.7,183343,20M,"5,000,000+",Free,0,Teen,Casino,"May 28, 2018",1.5.1,2.3 and up
Black Commando | Special Ops | FPS Shooting,GAME,4.1,1167,72M,"100,000+",Free,0,Teen,Action,"May 3, 2018",1.4,4.1 and up
BlackJack -21 Casino Card Game,GAME,4.7,2066,25M,"100,000+",Free,0,Teen,Casino,"March 14, 2018",1.3,4.0.3 and up
BlackJack 21 Pro,GAME,4.5,26744,51M,"500,000+",Free,0,Teen,Casino,"July 27, 2018",7.4.0,4.0.3 and up
Blackjack,GAME,4.3,52199,Varies with device,"1,000,000+",Free,0,Teen,Casino,"May 18, 2017",1.2.4.69,2.3 and up
Blackjack Verite Drills,GAME,4.6,17,4.7M,100+,Paid,$14.00,Teen,Casino,"July 9, 2017",1.1.10,3.0 and up
Blackjack aj Poker,GAME,3.8,8,4.2M,"1,000+",Free,0,Teen,Card,"October 19, 2016",1.1,2.3.3 and up
Block Battles: Heroes at War - Multiplayer PVP,GAME,4.3,6698,46M,"500,000+",Free,0,Everyone 10+,Action,"May 14, 2016",1.0.1,2.3 and up
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57M,"50,000,000+",Free,0,Everyone,Simulation,"March 5, 2018",2.10.2,4.0.3 and up
Block Gun 3D: Call of Destiny,GAME,3.7,31883,20M,"1,000,000+",Free,0,Teen,Action,"March 23, 2017",1.4.3,2.3 and up
Block Gun 3D: Ghost Ops,GAME,3.9,142693,21M,"5,000,000+",Free,0,Teen,Action,"June 7, 2018",1.4.0,2.3 and up
Block Gun 3D: Haunted Hollow,GAME,3.8,16282,35M,"1,000,000+",Free,0,Teen,Action,"October 9, 2017",1.1.4,2.3 and up
Block Puzzle,GAME,4.6,59907,7.8M,"5,000,000+",Free,0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up
Block Puzzle Classic Legend !,GAME,4.2,17044,4.9M,"5,000,000+",Free,0,Everyone,Puzzle,"April 13, 2018",2.9,2.3.3 and up
Block Strike,GAME,4.5,947515,60M,"10,000,000+",Free,0,Teen,Action,"July 25, 2018",5.3.1,4.1 and up
Blood Domination - BL Game,GAME,4.5,415,52M,"10,000+",Free,0,Mature 17+,Adventure,"July 6, 2018",1.0.1,4.1 and up
Blossom Blast Saga,GAME,4.5,1125438,63M,"10,000,000+",Free,0,Everyone,Casual,"July 5, 2018",57.0.8,4.0.3 and up
BombSquad Remote,GAME,4.1,13304,1.3M,"1,000,000+",Free,0,Everyone,Arcade,"November 30, 2016",1.2.21,4.0 and up
Bomber Friends,GAME,4.5,776730,49M,"10,000,000+",Free,0,Everyone 10+,Action,"July 26, 2018",2.23,4.0.3 and up
Bounce Classic,GAME,4.5,38297,6.4M,"10,000,000+",Free,0,Everyone,Arcade,"July 5, 2018",1.0.8,4.0.3 and up
Bowmasters,GAME,4.7,1535581,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up
Boyaa Poker (En) – Social Texas Hold’em,GAME,4.3,71468,51M,"1,000,000+",Free,0,Teen,Card,"June 12, 2018",5.8.0,4.1 and up
Brick Breaker BR,GAME,5.0,7,19M,5+,Free,0,Everyone,Arcade,"July 23, 2018",1.0,4.1 and up
Bricks n Balls,GAME,4.4,30253,Varies with device,"1,000,000+",Free,0,Everyone,Casual,"August 5, 2018",1.0.1.049,4.1 and up
Bu Hangi Dizi ?,GAME,,14,19M,"1,000+",Free,0,Everyone,Trivia,"May 4, 2018",3.1.7z,4.0.3 and up
Bu Hangi Oyun ?,GAME,,2,26M,50+,Free,0,Everyone,Word,"March 11, 2018",3.1.6z,4.0.3 and up
Bu Hangi Youtuber ?,GAME,,31,26M,"1,000+",Free,0,Everyone,Trivia,"August 31, 2017",3.2.2dk,4.0.3 and up
Bu Hangi Ünlü?,GAME,,1,19M,10+,Free,0,Everyone,Trivia,"June 9, 2018",3.3.7z,4.0.3 and up
Bu Nedir ?,GAME,,0,33M,50+,Free,0,Everyone,Trivia,"April 15, 2018",3.1.6z,4.0.3 and up
Bubble Shooter,GAME,4.5,43576,50M,"5,000,000+",Free,0,Everyone,Arcade,"September 13, 2017",4.4,2.3 and up
Bubble Shooter 2,GAME,4.3,23043,Varies with device,"5,000,000+",Free,0,Everyone,Arcade,"July 25, 2018",3.5,4.1 and up
Bubble Shooter Genies,GAME,4.5,26985,41M,"5,000,000+",Free,0,Everyone,Casual,"June 4, 2018",1.9.1,4.0.3 and up
Bubble Shooter Space,GAME,4.2,4355,Varies with device,"1,000,000+",Free,0,Everyone,Casual,"July 17, 2017",1.6,2.3 and up
Bubble Witch 3 Saga,GAME,4.7,1732263,78M,"50,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",4.8.4,3.0 and up
Bullet Force,GAME,4.5,634159,58M,"10,000,000+",Free,0,Teen,Action,"June 21, 2018",1.40,4.2 and up
Bullshit! (Free),GAME,2.4,45,4.1M,"10,000+",Free,0,Teen,Card,"August 26, 2016",1.1,4.1 and up
Bullshite!,GAME,2.8,48,13M,"10,000+",Free,0,Teen,Card,"April 10, 2016",1.0.1,4.1 and up
Bunny Skater,GAME,4.2,139432,4.7M,"10,000,000+",Free,0,Everyone,Adventure,"November 20, 2013",1.5,2.1 and up
Bus Rush: Subway Edition,GAME,4.1,753043,57M,"100,000,000+",Free,0,Teen,Action,"August 1, 2018",1.15.2,4.0.3 and up
C3-C4-PİCASSO-ELYSEE RACİNG,GAME,,12,48M,"1,000+",Free,0,Everyone,Arcade,"February 12, 2017","1,01",4.0 and up
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,"50,000,000+",Free,0,Everyone,Action,"July 9, 2018",2.11.1,4.1 and up
CJ Poker Odds Calculator,GAME,4.1,207,116k,"50,000+",Free,0,Everyone,Card,"January 30, 2011",1.2,1.6 and up
CJ: Strike Back,GAME,4.3,29330,6.9M,"1,000,000+",Free,0,Everyone,Action,"August 17, 2012",1.0.9,2.0.1 and up
CKZ ORIGINS,GAME,4.5,219821,10M,"1,000,000+",Free,0,Mature 17+,Action,"October 28, 2013",2.0.1,2.1 and up
CNY Slots : Gong Xi Fa Cai 发财机,GAME,3.6,33,71M,"5,000+",Free,0,Teen,Casino,"June 6, 2017",1.2,4.0.3 and up
CONTRACT KILLER: ZOMBIES,GAME,4.4,144545,13M,"5,000,000+",Free,0,Teen,Action,"December 1, 2011",1.1.0,2.1 and up
CONTRACT KILLER: ZOMBIES (NR),GAME,4.4,206602,13M,"5,000,000+",Free,0,Mature 17+,Action,"July 1, 2013",3.1.0,2.1 and up
CP Trivia,GAME,5.0,5,12M,100+,Free,0,Everyone,Trivia,"August 6, 2018",0.99,5.0 and up
CQ: Lost In Transmission,GAME,4.2,4,61M,10+,Free,0,Everyone,Action,"May 13, 2018",1.1,4.4 and up
CS16Client,GAME,4.3,8668,9.1M,"500,000+",Free,0,Teen,Action,"April 1, 2017",1.33,1.5 and up
CT-ART 4.0 (Chess Tactics 1200-2400 ELO),GAME,4.8,8191,Varies with device,"100,000+",Free,0,Everyone,Board,"May 22, 2018",1.1.0,4.1 and up
CT-REMOTE,GAME,3.3,19,1.6M,100+,Paid,$4.49,Everyone,Action,"February 10, 2015",1.4,2.3 and up
CURSUM B,GAME,,30,26M,500+,Paid,$0.99,Everyone,Racing,"June 20, 2017",1.0.0,2.3 and up
Call of Duty:Black Ops Zombies,GAME,4.2,13004,46M,"100,000+",Paid,$6.99,Teen,Action,"December 20, 2016",1.0.11,2.3.3 and up
